relative_path,label,class_name
bathtub/train/bathtub_0001.off,0,bathtub
bathtub/train/bathtub_0002.off,0,bathtub
bathtub/train/bathtub_0003.off,0,bathtub
bathtub/train/bathtub_0004.off,0,bathtub
bathtub/train/bathtub_0005.off,0,bathtub
bathtub/train/bathtub_0006.off,0,bathtub
bathtub/train/bathtub_0007.off,0,bathtub
bathtub/train/bathtub_0008.off,0,bathtub
bathtub/train/bathtub_0009.off,0,bathtub
bathtub/train/bathtub_0010.off,0,bathtub
bathtub/train/bathtub_0011.off,0,bathtub
bathtub/train/bathtub_0012.off,0,bathtub
bathtub/train/bathtub_0013.off,0,bathtub
bathtub/train/bathtub_0014.off,0,bathtub
bathtub/train/bathtub_0015.off,0,bathtub
bathtub/train/bathtub_0016.off,0,bathtub
bathtub/train/bathtub_0017.off,0,bathtub
bathtub/train/bathtub_0018.off,0,bathtub
bathtub/train/bathtub_0019.off,0,bathtub
bathtub/train/bathtub_0020.off,0,bathtub
bathtub/train/bathtub_0021.off,0,bathtub
bathtub/train/bathtub_0022.off,0,bathtub
bathtub/train/bathtub_0023.off,0,bathtub
bathtub/train/bathtub_0024.off,0,bathtub
bathtub/train/bathtub_0025.off,0,bathtub
bathtub/train/bathtub_0026.off,0,bathtub
bathtub/train/bathtub_0027.off,0,bathtub
bathtub/train/bathtub_0028.off,0,bathtub
bathtub/train/bathtub_0029.off,0,bathtub
bathtub/train/bathtub_0030.off,0,bathtub
bathtub/train/bathtub_0031.off,0,bathtub
bathtub/train/bathtub_0032.off,0,bathtub
bathtub/train/bathtub_0033.off,0,bathtub
bathtub/train/bathtub_0034.off,0,bathtub
bathtub/train/bathtub_0035.off,0,bathtub
bathtub/train/bathtub_0036.off,0,bathtub
bathtub/train/bathtub_0037.off,0,bathtub
bathtub/train/bathtub_0038.off,0,bathtub
bathtub/train/bathtub_0039.off,0,bathtub
bathtub/train/bathtub_0040.off,0,bathtub
bathtub/train/bathtub_0041.off,0,bathtub
bathtub/train/bathtub_0042.off,0,bathtub
bathtub/train/bathtub_0043.off,0,bathtub
bathtub/train/bathtub_0044.off,0,bathtub
bathtub/train/bathtub_0045.off,0,bathtub
bathtub/train/bathtub_0046.off,0,bathtub
bathtub/train/bathtub_0047.off,0,bathtub
bathtub/train/bathtub_0048.off,0,bathtub
bathtub/train/bathtub_0049.off,0,bathtub
bathtub/train/bathtub_0050.off,0,bathtub
bathtub/train/bathtub_0051.off,0,bathtub
bathtub/train/bathtub_0052.off,0,bathtub
bathtub/train/bathtub_0053.off,0,bathtub
bathtub/train/bathtub_0054.off,0,bathtub
bathtub/train/bathtub_0055.off,0,bathtub
bathtub/train/bathtub_0056.off,0,bathtub
bathtub/train/bathtub_0057.off,0,bathtub
bathtub/train/bathtub_0058.off,0,bathtub
bathtub/train/bathtub_0059.off,0,bathtub
bathtub/train/bathtub_0060.off,0,bathtub
bathtub/train/bathtub_0061.off,0,bathtub
bathtub/train/bathtub_0062.off,0,bathtub
bathtub/train/bathtub_0063.off,0,bathtub
bathtub/train/bathtub_0064.off,0,bathtub
bathtub/train/bathtub_0065.off,0,bathtub
bathtub/train/bathtub_0066.off,0,bathtub
bathtub/train/bathtub_0067.off,0,bathtub
bathtub/train/bathtub_0068.off,0,bathtub
bathtub/train/bathtub_0069.off,0,bathtub
bathtub/train/bathtub_0070.off,0,bathtub
bathtub/train/bathtub_0071.off,0,bathtub
bathtub/train/bathtub_0072.off,0,bathtub
bathtub/train/bathtub_0073.off,0,bathtub
bathtub/train/bathtub_0074.off,0,bathtub
bathtub/train/bathtub_0075.off,0,bathtub
bathtub/train/bathtub_0076.off,0,bathtub
bathtub/train/bathtub_0077.off,0,bathtub
bathtub/train/bathtub_0078.off,0,bathtub
bathtub/train/bathtub_0079.off,0,bathtub
bathtub/train/bathtub_0080.off,0,bathtub
bathtub/train/bathtub_0081.off,0,bathtub
bathtub/train/bathtub_0082.off,0,bathtub
bathtub/train/bathtub_0083.off,0,bathtub
bathtub/train/bathtub_0084.off,0,bathtub
bathtub/train/bathtub_0085.off,0,bathtub
bathtub/train/bathtub_0086.off,0,bathtub
bathtub/train/bathtub_0087.off,0,bathtub
bathtub/train/bathtub_0088.off,0,bathtub
bathtub/train/bathtub_0089.off,0,bathtub
bathtub/train/bathtub_0090.off,0,bathtub
