step,train_loss
4,2.2728514671325684
12,2.3070220947265625
24,2.3088161945343018
32,2.293457508087158
36,2.311636447906494
44,2.3402228355407715
56,2.380074977874756
64,2.160914897918701
68,2.2354178428649902
72,2.302119255065918
88,2.28977108001709
92,2.1839821338653564
96,2.104990005493164
116,2.3700711727142334
120,2.3177921772003174
124,2.3029661178588867
132,2.2692036628723145
152,2.241408348083496
160,2.2713775634765625
172,2.349557399749756
180,2.3702211380004883
188,2.268705129623413
192,2.237438440322876
200,2.3037800788879395
208,2.226459264755249
212,2.161651134490967
224,2.091233253479004
228,2.288210868835449
244,2.225311279296875
252,2.1132891178131104
256,2.0193822383880615
264,1.9979236125946045
268,2.325981855392456
272,2.3321776390075684
276,2.3116443157196045
280,2.0807039737701416
292,2.4396185874938965
300,2.4188954830169678
308,2.33481502532959
316,2.1704227924346924
328,2.195127487182617
332,2.1537294387817383
340,2.0650439262390137
344,1.9091517925262451
352,2.2214231491088867
360,2.0155861377716064
372,1.9688355922698975
380,2.0501456260681152
384,2.3407092094421387
388,2.3632583618164062
396,2.085353136062622
400,1.9088119268417358
404,2.289821147918701
408,2.3894612789154053
416,2.458888530731201
420,2.0347845554351807
428,2.0724105834960938
432,2.1368725299835205
448,2.1273865699768066
464,2.646846294403076
468,1.8768986463546753
476,1.9655191898345947
480,2.35292911529541
484,2.0181078910827637
488,2.1953094005584717
492,1.7363675832748413
496,2.502592086791992
504,2.353497266769409
512,2.3462963104248047
516,2.1258816719055176
528,2.126768112182617
532,1.7778699398040771
540,1.880799412727356
548,1.8537836074829102
556,2.849682331085205
560,1.9305232763290405
564,1.9674060344696045
572,2.4475748538970947
580,2.165677547454834
584,2.03035306930542
588,2.313610553741455
600,1.9208719730377197
608,2.160708427429199
612,1.8129897117614746
620,2.252915382385254
624,2.088137149810791
628,1.8686758279800415
636,1.787912130355835
644,2.0838756561279297
648,1.881564736366272
660,2.1041836738586426
664,2.177067279815674
672,2.365720748901367
688,1.9088181257247925
704,1.935549020767212
708,1.7600668668746948
732,1.7538578510284424
756,2.564542293548584
760,2.117790699005127
764,2.0675950050354004
780,2.0103771686553955
792,1.9051460027694702
796,1.4770667552947998
808,2.062962532043457
812,1.875817894935608
816,2.4263265132904053
824,2.5111312866210938
828,2.8842766284942627
844,2.154688835144043
848,2.1882476806640625
852,1.9584861993789673
856,2.3439011573791504
860,2.0131826400756836
864,2.0575785636901855
868,1.8297476768493652
876,1.8502517938613892
880,2.1847996711730957
884,2.7904703617095947
888,1.6523256301879883
896,1.7248196601867676
904,2.105496406555176
912,2.0451977252960205
920,1.8692092895507812
928,2.126232624053955
932,2.1256039142608643
940,1.7207304239273071
944,1.9854183197021484
948,2.557567596435547
956,2.0724432468414307
960,1.9890425205230713
964,1.730323076248169
972,1.8031123876571655
984,1.7114133834838867
996,2.7109146118164062
1004,1.8982927799224854
1008,2.0426483154296875
1012,1.997430682182312
1016,2.2017390727996826
1020,2.6313490867614746
1024,2.0636630058288574
1028,2.223296880722046
1032,1.7056076526641846
1040,2.0842483043670654
1044,1.6534128189086914
1052,1.8351881504058838
1064,1.7707747220993042
1068,2.865506649017334
1076,1.7754875421524048
1084,2.017202854156494
1088,2.2724170684814453
1096,2.3565149307250977
1100,2.825584888458252
1104,2.091397762298584
1112,2.168200969696045
1124,2.0424909591674805
1128,1.8771421909332275
1140,2.06742525100708
1144,2.102260112762451
1148,1.5254253149032593
1156,1.6853853464126587
1168,2.563227653503418
1172,2.1503007411956787
1176,1.863073706626892
1192,2.1154890060424805
1200,2.0297415256500244
1208,2.465059757232666
1212,1.9971166849136353
1216,2.523036003112793
1220,2.231729030609131
1224,2.340808391571045
1232,2.1763968467712402
1236,1.7178730964660645
1240,1.9164267778396606
1252,2.259891986846924
1256,1.9035242795944214
1260,2.175861358642578
1276,2.533337116241455
1284,1.7777483463287354
1288,2.3003597259521484
1296,2.121591806411743
1300,2.38822865486145
1304,2.2224209308624268
1308,1.8897933959960938
1312,1.9002060890197754
1316,1.813730239868164
1320,1.8930528163909912
1324,1.8243615627288818
1332,2.2234537601470947
1336,1.932021975517273
1340,1.842311143875122
1348,2.0497045516967773
1356,2.098947763442993
1360,2.4878406524658203
1364,1.906092643737793
1368,2.1612637042999268
1372,1.9666807651519775
1376,2.2244505882263184
1384,1.7996530532836914
1412,1.92098069190979
1416,2.1024680137634277
1424,2.4827425479888916
1428,2.251315116882324
1436,1.8467292785644531
1444,1.8085837364196777
1448,1.6309735774993896
1456,2.818668842315674
1476,1.707867980003357
1484,1.6186774969100952
1492,1.8572970628738403
1500,1.8301727771759033
1508,2.2708969116210938
1516,2.557608127593994
1524,2.3425397872924805
1528,2.3945412635803223
1532,1.806246280670166
1552,2.4935812950134277
1556,2.0390515327453613
1560,2.0644783973693848
1568,2.18609356880188
1572,1.9460597038269043
1584,2.0755789279937744
1596,1.7295682430267334
1608,2.168790578842163
1620,2.1769449710845947
1624,2.1887264251708984
1632,1.8247580528259277
1636,1.794194221496582
1648,1.9809801578521729
1652,1.7579923868179321
1656,1.9744300842285156
1660,2.180996894836426
1680,1.9140887260437012
1684,1.9101836681365967
1688,1.6963779926300049
1700,2.4842028617858887
1704,2.7203128337860107
1708,2.0653066635131836
1712,2.4645986557006836
1720,1.5701394081115723
1736,2.0737297534942627
1740,2.228020191192627
1748,2.521925926208496
1756,2.328237295150757
